ID,Name,Description,Category,Comment,Cognateset_ID,CognatesetReference_ID,Chapter_ID
1-3-3-4-56-POc-bou-a-1,,,,,1-3-3-4-56-POc-bou-a,1-3-3-4-56-POc-bou-a,1-3
1-3-3-4-56-POc-sokar-a-1,,,,,1-3-3-4-56-POc-sokar-a,1-3-3-4-56-POc-sokar-a,1-3
1-3-3-5-57-POc-logi-a-1,,,,,1-3-3-5-57-POc-logi-a,1-3-3-5-57-POc-logi-a,1-3
1-3-3-5-57-POc-patar-a-1,,,,,1-3-3-5-57-POc-patar-a,1-3-3-5-57-POc-patar-a,1-3
1-3-3-7-63-POc-pera-a-1,,,,,1-3-3-7-63-POc-pera-a,1-3-3-7-63-POc-pera-a,1-3
1-3-3-7-64-POc-malala-a-1,,,,,1-3-3-7-64-POc-malala-a,1-3-3-7-64-POc-malala-a,1-3
1-4-2-1-69-PNGOc-badri-a-1,,,,,1-4-2-1-69-PNGOc-badri-a,1-4-2-1-69-PNGOc-badri-a,1-4
1-4-2-2-72-POc-tabira-a-1,,,,,1-4-2-2-72-POc-tabira-a,1-4-2-2-72-POc-tabira-a,1-4
1-4-2-2-73-PCP-kumete-a-1,the following probable loans from Polynesia:,,,,1-4-2-2-73-PCP-kumete-a,1-4-2-2-73-PCP-kumete-a,1-4
1-4-2-3-78-PWOc-kase-a-1,,,,,1-4-2-3-78-PWOc-kase-a,1-4-2-3-78-PWOc-kase-a,1-4
1-4-3-2-84-POc-piri-a-1,,,,,1-4-3-2-84-POc-piri-a,1-4-3-2-84-POc-piri-a,1-4
1-4-3-2-86-POc-saqit-a-1,,,,,1-4-3-2-86-POc-saqit-a,1-4-3-2-86-POc-saqit-a,1-4
1-4-4-1-91-PEOc-sele-a-1,,,,,1-4-4-1-91-PEOc-sele-a,1-4-4-1-91-PEOc-sele-a,1-4
1-4-4-1-95-POc-giri-a-1,,,,,1-4-4-1-95-POc-giri-a,1-4-4-1-95-POc-giri-a,1-4
1-4-5-1-96-PCP-taba-a-1,,,,,1-4-5-1-96-PCP-taba-a,1-4-5-1-96-PCP-taba-a,1-4
1-4-5-3-100-POc-lumuk-a-1,,,,,1-4-5-3-100-POc-lumuk-a,1-4-5-3-100-POc-lumuk-a,1-4
1-4-5-3-101-PWOc-tapal-a-1,,,,,1-4-5-3-101-PWOc-tapal-a,1-4-5-3-101-PWOc-tapal-a,1-4
1-4-5-5-104-POc-sabisabi-a-1,,,,,1-4-5-5-104-POc-sabisabi-a,1-4-5-5-104-POc-sabisabi-a,1-4
1-4-7-1-111-POc-salap-a-1,,,,,1-4-7-1-111-POc-salap-a,1-4-7-1-111-POc-salap-a,1-4
1-5-5-1-121-PWOc-lamo-a-1,,,,,1-5-5-1-121-PWOc-lamo-a,1-5-5-1-121-PWOc-lamo-a,1-5
1-5-5-2-122-POc-sokot-a-1,,,,,1-5-5-2-122-POc-sokot-a,1-5-5-2-122-POc-sokot-a,1-5
1-5-5-4-123-POc-keli-a-1,,,,,1-5-5-4-123-POc-keli-a,1-5-5-4-123-POc-keli-a,1-5
1-5-5-4-124-POc-suar-a-1,,,,,1-5-5-4-124-POc-suar-a,1-5-5-4-124-POc-suar-a,1-5
1-5-8-2-132-PEOc-pasi-a-1,,,,,1-5-8-2-132-PEOc-pasi-a,1-5-8-2-132-PEOc-pasi-a,1-5
1-5-8-2-132-POc-tanum-a-1,,,,,1-5-8-2-132-POc-tanum-a,1-5-8-2-132-POc-tanum-a,1-5
1-5-9-4-135-POc-malai-a-1,,,,,1-5-9-4-135-POc-malai-a,1-5-9-4-135-POc-malai-a,1-5
1-5-10-None-137-POc-saput-a-1,,,,,1-5-10-None-137-POc-saput-a,1-5-10-None-137-POc-saput-a,1-5
1-5-10-None-137-PCP-paki-a-1,,,,,1-5-10-None-137-PCP-paki-a,1-5-10-None-137-PCP-paki-a,1-5
1-5-12-None-139-POc-logi-a-1,,,,,1-3-3-5-57-POc-logi-a,1-5-12-None-139-POc-logi-a,1-5
1-6-2-4-147-POc-rapur-a-1,,,,,1-3-3-6-59-POc-rapur-a,1-6-2-4-147-POc-rapur-a,1-6
1-6-2-7-148-POc-kapit-a-1,,,,,1-6-2-7-148-POc-kapit-a,1-6-2-7-148-POc-kapit-a,1-6
1-6-3-5-153-POc-rara-a-1,,,,,1-6-3-5-153-POc-rara-a,1-6-3-5-153-POc-rara-a,1-6
1-6-5-8-169-POc-ppippit-a-1,,,,,1-6-5-8-169-POc-ppippit-a,1-6-5-8-169-POc-ppippit-a,1-6
1-7-2-2-182-PEOc-paqurua-a-1,,,,,1-7-2-2-182-PEOc-paqurua-a,1-7-2-2-182-PEOc-paqurua-a,1-7
1-7-5-3-196-PEOc-kaiutuqur-a-1,,,,,1-7-5-3-196-PEOc-kaiutuqur-a,1-7-5-3-196-PEOc-kaiutuqur-a,1-7
1-7-7-2-200-PEOc-suac-a-1,,,,,1-7-7-2-200-PEOc-suac-a,1-7-7-2-200-PEOc-suac-a,1-7
1-7-7-3-200-POc-tokon-a-1,,,,,1-7-7-3-200-POc-tokon-a,1-7-7-3-200-POc-tokon-a,1-7
1-7-7-5-202-PCP-tadravu-a-1,,,,,1-7-7-5-202-PCP-tadravu-a,1-7-7-5-202-PCP-tadravu-a,1-7
1-7-8-3-204-POc-sawa-a-1,,,,,1-7-8-3-204-POc-sawa-a,1-7-8-3-204-POc-sawa-a,1-7
1-7-9-2-206-POc-palaur-a-1,,,,,1-7-9-2-206-POc-palaur-a,1-7-9-2-206-POc-palaur-a,1-7
1-7-9-3-207-PEOc-tautasik-a-1,,,,,1-7-9-3-207-PEOc-tautasik-a,1-7-9-3-207-PEOc-tautasik-a,1-7
1-9-2-1-236-POc-giri-a-1,,,,,1-9-2-1-236-POc-giri-a,1-9-2-1-236-POc-giri-a,1-9
1-9-2-2-239-POc-karas-a-1,,,,,1-6-5-2-163-POc-karas-a,1-9-2-2-239-POc-karas-a,1-9
1-9-2-2-240-POc-kasi-a-1,,,,,1-6-5-2-162-POc-kasi-a,1-9-2-2-240-POc-kasi-a,1-9
1-9-3-1-247-POc-kutu-a-1,,,,,1-9-3-1-247-POc-kutu-a,1-9-3-1-247-POc-kutu-a,1-9
1-9-3-1-248-POc-muju-a-1,,,,,1-9-3-1-248-POc-muju-a,1-9-3-1-248-POc-muju-a,1-9
1-9-3-1-250-POc-siba-a-1,,,,,1-9-3-1-250-POc-siba-a,1-9-3-1-250-POc-siba-a,1-9
1-9-3-2-250-POc-ppasi-a-1,,,,,1-9-3-2-250-POc-ppasi-a,1-9-3-2-250-POc-ppasi-a,1-9
1-9-3-2-251-POc-poka-a-1,,,,,1-9-3-2-251-POc-poka-a,1-9-3-2-251-POc-poka-a,1-9
1-9-3-5-254-POc-kolo-a-1,,,,,1-9-3-5-254-POc-kolo-a,1-9-3-5-254-POc-kolo-a,1-9
1-9-3-7-258-POc-tosi-a-1,,,,,1-9-3-7-258-POc-tosi-a,1-9-3-7-258-POc-tosi-a,1-9
1-9-3-8-260-POc-ppolaq-a-1,,,,,1-9-3-8-260-POc-ppolaq-a,1-9-3-8-260-POc-ppolaq-a,1-9
1-9-3-8-261-POc-botak-a-1,,,,,1-6-5-5-167-POc-potak-a,1-9-3-8-261-POc-botak-a,1-9
1-9-3-8-261-POc-kakas-a-1,,,,,1-9-3-8-261-POc-kakas-a,1-9-3-8-261-POc-kakas-a,1-9
1-9-3-9-263-POc-sika-a-1,,,,,1-8-2-None-215-POc-sika-a,1-9-3-9-263-POc-sika-a,1-9
